time_s,power_W,ambient_degC
115.0,8.7,10.0
116.0,11.6,10.0
117.0,14.5,10.0
118.0,17.4,10.0
119.0,20.3,10.0
120.0,20.3,10.0
121.0,20.3,10.0
122.0,20.3,10.0
123.0,20.3,10.0
124.0,20.3,10.0
125.0,20.3,10.0
126.0,20.3,10.0
127.0,18.4,10.0
128.0,16.5,10.0
129.0,14.6,10.0
130.0,12.7,10.0
131.0,10.8,10.0
132.0,8.9,10.0
133.0,7.0,10.0
134.0,5.1,10.0
135.0,3.2,10.0
136.0,3.2,10.0
137.0,3.2,10.0
138.0,3.2,10.0
139.0,3.2,10.0
140.0,3.2,10.0
141.0,3.2,10.0
142.0,3.2,10.0
143.0,3.2,10.0
144.0,3.2,10.0
145.0,3.2,10.0
146.0,3.2,10.0
147.0,3.2,10.0
148.0,3.2,10.0
149.0,0.8,10.0
150.0,-1.6,10.0
151.0,-4.0,10.0
152.0,-6.4,10.0
153.0,0.0,10.0
154.0,0.0,10.0
155.0,0.0,10.0
156.0,0.0,10.0
157.0,0.0,10.0
158.0,0.0,10.0
159.0,0.0,10.0
160.0,0.0,10.0
161.0,0.0,10.0
162.0,0.0,10.0
163.0,0.0,10.0
164.0,0.0,10.0
165.0,0.0,10.0
166.0,0.0,10.0
167.0,0.0,10.0
168.0,0.0,10.0
169.0,3.96,10.0
170.0,7.91,10.0
171.0,11.87,10.0
172.0,15.83,10.0
173.0,19.79,10.0
174.0,23.74,10.0
175.0,27.7,10.0
176.0,27.7,10.0
177.0,27.7,10.0
178.0,27.7,10.0
179.0,27.7,10.0
180.0,27.7,10.0
181.0,27.7,10.0
182.0,27.7,10.0
183.0,24.98,10.0
184.0,22.26,10.0
185.0,19.53,10.0
186.0,16.81,10.0
187.0,14.09,10.0
188.0,11.37,10.0
189.0,8.64,10.0
190.0,5.92,10.0
191.0,3.2,10.0
192.0,3.2,10.0
193.0,3.2,10.0
194.0,3.2,10.0
195.0,3.2,10.0
196.0,3.2,10.0
197.0,3.2,10.0
198.0,3.2,10.0
199.0,3.2,10.0
200.0,3.2,10.0
201.0,3.2,10.0
202.0,3.2,10.0
203.0,3.2,10.0
204.0,3.2,10.0
205.0,0.8,10.0
206.0,-1.6,10.0
207.0,-4.0,10.0
208.0,-6.4,10.0
209.0,0.0,10.0
210.0,0.0,10.0
211.0,0.0,10.0
212.0,0.0,10.0
213.0,0.0,10.0
214.0,0.0,10.0
215.0,0.0,10.0
216.0,0.0,10.0
217.0,0.0,10.0
218.0,0.0,10.0
219.0,0.0,10.0
220.0,0.0,10.0
221.0,0.0,10.0
222.0,0.0,10.0
223.0,0.0,10.0
224.0,0.0,10.0
225.0,2.13,10.0
226.0,4.26,10.0
227.0,6.39,10.0
228.0,8.51,10.0
229.0,10.64,10.0
230.0,12.77,10.0
231.0,14.9,10.0
232.0,14.9,10.0
233.0,14.9,10.0
234.0,14.9,10.0
235.0,14.9,10.0
236.0,14.9,10.0
237.0,14.9,10.0
238.0,14.9,10.0
239.0,13.6,10.0
240.0,12.3,10.0
241.0,11.0,10.0
242.0,9.7,10.0
243.0,8.4,10.0
244.0,7.1,10.0
245.0,5.8,10.0
246.0,4.5,10.0
247.0,3.2,10.0
248.0,3.2,10.0
249.0,3.2,10.0
250.0,3.2,10.0
251.0,3.2,10.0
252.0,3.2,10.0
253.0,3.2,10.0
254.0,3.2,10.0
255.0,3.2,10.0
256.0,3.2,10.0
257.0,3.2,10.0
258.0,3.2,10.0
259.0,3.2,10.0
260.0,3.2,10.0
261.0,0.8,10.0
262.0,-1.6,10.0
263.0,-4.0,10.0
264.0,-6.4,10.0
265.0,0.0,10.0
266.0,0.0,10.0
267.0,0.0,10.0
268.0,0.0,10.0
269.0,0.0,10.0
270.0,0.0,10.0
271.0,0.0,10.0
272.0,0.0,10.0
273.0,0.0,10.0
274.0,0.0,10.0
275.0,0.0,10.0
276.0,0.0,10.0
277.0,0.0,10.0
278.0,0.0,10.0
279.0,0.0,10.0
280.0,0.0,10.0
281.0,3.66,10.0
282.0,7.31,10.0
283.0,10.97,10.0
284.0,14.63,10.0
285.0,18.29,10.0
286.0,21.94,10.0
287.0,25.6,10.0
288.0,25.6,10.0
289.0,25.6,10.0
290.0,25.6,10.0
291.0,25.6,10.0
292.0,25.6,10.0
293.0,25.6,10.0
294.0,25.6,10.0
295.0,23.11,10.0
296.0,20.62,10.0
297.0,18.13,10.0
298.0,15.64,10.0
299.0,13.16,10.0
300.0,10.67,10.0
301.0,8.18,10.0
302.0,5.69,10.0
303.0,3.2,10.0
304.0,3.2,10.0
305.0,3.2,10.0
306.0,3.2,10.0
307.0,3.2,10.0
308.0,3.2,10.0
309.0,3.2,10.0
310.0,3.2,10.0
311.0,3.2,10.0
312.0,3.2,10.0
313.0,3.2,10.0
314.0,3.2,10.0
315.0,3.2,10.0
316.0,3.2,10.0
317.0,0.8,10.0
318.0,-1.6,10.0
319.0,-4.0,10.0
320.0,-6.4,10.0
321.0,0.0,10.0
322.0,0.0,10.0
323.0,0.0,10.0
324.0,0.0,10.0
325.0,0.0,10.0
326.0,0.0,10.0
327.0,0.0,10.0
328.0,0.0,10.0
329.0,0.0,10.0
330.0,0.0,10.0
331.0,0.0,10.0
332.0,0.0,10.0
333.0,0.0,10.0
334.0,0.0,10.0
335.0,0.0,10.0
336.0,0.0,10.0
337.0,2.74,10.0
338.0,5.49,10.0
339.0,8.23,10.0
340.0,10.97,10.0
341.0,13.71,10.0
342.0,16.46,10.0
343.0,19.2,10.0
344.0,19.2,10.0
345.0,19.2,10.0
346.0,19.2,10.0
347.0,19.2,10.0
348.0,19.2,10.0
349.0,19.2,10.0
350.0,19.2,10.0
351.0,17.42,10.0
352.0,15.64,10.0
353.0,13.87,10.0
354.0,12.09,10.0
355.0,10.31,10.0
356.0,8.53,10.0
357.0,6.76,10.0
358.0,4.98,10.0
359.0,3.2,10.0
360.0,3.2,10.0
361.0,3.2,10.0
362.0,3.2,10.0
363.0,3.2,10.0
364.0,3.2,10.0
365.0,3.2,10.0
366.0,3.2,10.0
367.0,3.2,10.0
368.0,3.2,10.0
369.0,3.2,10.0
370.0,3.2,10.0
371.0,3.2,10.0
372.0,3.2,10.0
373.0,0.8,10.0
374.0,-1.6,10.0
375.0,-4.0,10.0
376.0,-6.4,10.0
377.0,0.0,10.0
378.0,0.0,10.0
379.0,0.0,10.0
380.0,0.0,10.0
381.0,0.0,10.0
382.0,0.0,10.0
383.0,0.0,10.0
384.0,0.0,10.0
385.0,0.0,10.0
386.0,0.0,10.0
387.0,0.0,10.0
388.0,0.0,10.0
389.0,0.0,10.0
390.0,0.0,10.0
391.0,0.0,10.0
392.0,0.0,10.0
393.0,3.04,10.0
394.0,6.09,10.0
395.0,9.13,10.0
396.0,12.17,10.0
397.0,15.21,10.0
398.0,18.26,10.0
399.0,21.3,10.0
400.0,21.3,10.0
401.0,21.3,10.0
402.0,21.3,10.0
403.0,21.3,10.0
404.0,21.3,10.0
405.0,21.3,10.0
406.0,21.3,10.0
407.0,19.29,10.0
408.0,17.28,10.0
409.0,15.27,10.0
410.0,13.26,10.0
411.0,11.24,10.0
412.0,9.23,10.0
413.0,7.22,10.0
414.0,5.21,10.0
415.0,3.2,10.0
416.0,3.2,10.0
417.0,3.2,10.0
418.0,3.2,10.0
419.0,3.2,10.0
420.0,3.2,10.0
421.0,3.2,10.0
422.0,3.2,10.0
423.0,3.2,10.0
424.0,3.2,10.0
425.0,3.2,10.0
426.0,3.2,10.0
427.0,3.2,10.0
428.0,3.2,10.0
429.0,0.8,10.0
430.0,-1.6,10.0
431.0,-4.0,10.0
432.0,-6.4,10.0
433.0,0.0,10.0
434.0,0.0,10.0
435.0,0.0,10.0
436.0,0.0,10.0
437.0,0.0,10.0
438.0,0.0,10.0
439.0,0.0,10.0
440.0,0.0,10.0
441.0,0.0,10.0
442.0,0.0,10.0
443.0,0.0,10.0
444.0,0.0,10.0
445.0,0.0,10.0
446.0,0.0,10.0
447.0,0.0,10.0
448.0,0.0,25.0
449.0,1.16,25.0
450.0,2.33,25.0
451.0,3.49,25.0
452.0,4.65,25.0
453.0,5.82,25.0
454.0,6.98,25.0
455.0,8.15,25.0
456.0,9.31,25.0
457.0,10.47,25.0
458.0,11.64,25.0
459.0,12.8,25.0
460.0,12.8,25.0
461.0,12.8,25.0
462.0,12.8,25.0
463.0,12.8,25.0
464.0,12.8,25.0
465.0,12.8,25.0
466.0,12.8,25.0
467.0,12.8,25.0
468.0,12.8,25.0
469.0,12.8,25.0
470.0,12.8,25.0
471.0,12.8,25.0
472.0,12.8,25.0
473.0,12.8,25.0
474.0,12.8,25.0
475.0,12.8,25.0
476.0,12.8,25.0
477.0,12.8,25.0
478.0,12.8,25.0
479.0,12.8,25.0
480.0,12.8,25.0
481.0,12.8,25.0
482.0,12.8,25.0
483.0,12.8,25.0
484.0,12.8,25.0
485.0,12.8,25.0
486.0,12.8,25.0
487.0,12.8,25.0
488.0,12.8,25.0
489.0,12.8,25.0
490.0,12.8,25.0
491.0,12.8,25.0
492.0,12.8,25.0
493.0,12.8,25.0
494.0,12.8,25.0
495.0,12.8,25.0
496.0,12.8,25.0
497.0,12.8,25.0
498.0,12.8,25.0
499.0,12.8,25.0
500.0,12.8,25.0
501.0,12.8,25.0
502.0,12.8,25.0
503.0,12.8,25.0
504.0,12.8,25.0
505.0,12.8,25.0
506.0,12.8,25.0
507.0,12.8,25.0
508.0,12.8,25.0
509.0,12.8,25.0
510.0,12.8,25.0
511.0,12.8,25.0
512.0,12.8,25.0
513.0,12.8,25.0
514.0,12.8,25.0
515.0,12.8,25.0
516.0,12.8,25.0
517.0,12.8,25.0
518.0,12.8,25.0
519.0,12.8,25.0
520.0,12.8,25.0
521.0,12.8,25.0
522.0,12.8,25.0
523.0,12.8,25.0
524.0,12.8,25.0
525.0,12.8,25.0
526.0,12.8,25.0
527.0,12.8,25.0
528.0,12.8,25.0
529.0,12.8,25.0
530.0,12.8,25.0
531.0,12.8,25.0
532.0,12.8,25.0
533.0,12.8,25.0
534.0,12.8,25.0
535.0,12.8,25.0
536.0,12.8,25.0
537.0,12.8,25.0
538.0,12.8,25.0
539.0,12.8,25.0
540.0,12.8,25.0
541.0,12.8,25.0
542.0,12.8,25.0
543.0,12.8,25.0
544.0,12.8,25.0
545.0,12.8,25.0
546.0,12.8,25.0
547.0,12.8,25.0
548.0,12.8,25.0
549.0,12.8,25.0
550.0,12.8,25.0
551.0,10.36,25.0
552.0,7.91,25.0
553.0,5.47,25.0
554.0,3.03,25.0
555.0,0.59,25.0
556.0,-1.86,25.0
557.0,-4.3,25.0
558.0,9.6,25.0
559.0,9.6,25.0
560.0,9.6,25.0
561.0,9.6,25.0
562.0,9.6,25.0
563.0,9.6,25.0
564.0,9.6,25.0
565.0,9.6,25.0
566.0,9.6,25.0
567.0,9.6,25.0
568.0,9.6,25.0
569.0,9.6,25.0
570.0,9.6,25.0
571.0,9.6,25.0
572.0,9.6,25.0
573.0,9.6,25.0
574.0,9.6,25.0
575.0,9.6,25.0
576.0,9.6,25.0
577.0,9.6,25.0
578.0,9.6,25.0
579.0,9.6,25.0
580.0,9.6,25.0
581.0,9.6,25.0
582.0,9.6,25.0
583.0,9.6,25.0
584.0,9.6,25.0
585.0,9.6,25.0
586.0,9.6,25.0
587.0,9.6,25.0
588.0,9.6,25.0
589.0,9.6,25.0
590.0,9.6,25.0
591.0,9.6,25.0
592.0,9.6,25.0
593.0,9.6,25.0
594.0,9.6,25.0
595.0,9.6,25.0
596.0,9.6,25.0
597.0,9.6,25.0
598.0,9.6,25.0
599.0,9.6,25.0
600.0,9.6,25.0
601.0,9.6,25.0
602.0,9.6,25.0
603.0,9.6,25.0
604.0,9.6,25.0
605.0,9.6,25.0
606.0,9.6,25.0
607.0,9.6,25.0
608.0,9.6,25.0
609.0,9.6,25.0
610.0,9.6,25.0
611.0,9.6,25.0
612.0,9.6,25.0
613.0,9.6,25.0
614.0,9.6,25.0
615.0,9.6,25.0
616.0,9.6,25.0
617.0,9.6,25.0
618.0,9.6,25.0
619.0,9.6,25.0
620.0,9.6,25.0
621.0,9.6,25.0
622.0,9.6,25.0
623.0,9.6,25.0
624.0,9.6,25.0
625.0,9.6,25.0
626.0,9.6,25.0
627.0,9.6,25.0
628.0,9.6,25.0
629.0,8.53,25.0
630.0,7.47,25.0
631.0,6.4,25.0
632.0,5.33,25.0
633.0,4.27,25.0
634.0,3.2,25.0
635.0,2.13,25.0
636.0,1.07,25.0
637.0,0.0,25.0
638.0,0.0,35.0
639.0,3.56,35.0
640.0,7.11,35.0
641.0,10.67,35.0
642.0,14.22,35.0
643.0,17.78,35.0
644.0,21.33,35.0
645.0,24.89,35.0
646.0,28.44,35.0
647.0,32.0,35.0
648.0,32.0,35.0
649.0,32.0,35.0
650.0,32.0,35.0
651.0,32.0,35.0
652.0,32.0,35.0
653.0,32.0,35.0
654.0,32.0,35.0
655.0,32.0,35.0
656.0,32.0,35.0
657.0,32.0,35.0
658.0,32.0,35.0
659.0,32.0,35.0
660.0,32.0,35.0
661.0,32.0,35.0
662.0,32.0,35.0
663.0,32.0,35.0
664.0,32.0,35.0
665.0,32.0,35.0
666.0,32.0,35.0
667.0,32.0,35.0
668.0,32.0,35.0
669.0,32.0,35.0
670.0,32.0,35.0
671.0,32.0,35.0
672.0,32.0,35.0
673.0,16.0,35.0
674.0,15.42,35.0
675.0,14.85,35.0
676.0,14.31,35.0
677.0,13.82,35.0
678.0,13.38,35.0
679.0,13.0,35.0
680.0,12.7,35.0
681.0,12.48,35.0
682.0,12.34,35.0
683.0,12.3,35.0
684.0,12.35,35.0
685.0,12.49,35.0
686.0,12.72,35.0
687.0,13.03,35.0
688.0,13.41,35.0
689.0,13.86,35.0
690.0,14.36,35.0
691.0,14.9,35.0
692.0,15.47,35.0
693.0,16.05,35.0
694.0,16.63,35.0
695.0,17.19,35.0
696.0,17.73,35.0
697.0,18.22,35.0
698.0,18.66,35.0
699.0,19.03,35.0
700.0,19.33,35.0
701.0,19.54,35.0
702.0,19.66,35.0
703.0,19.7,35.0
704.0,19.64,35.0
705.0,19.49,35.0
706.0,19.26,35.0
707.0,18.94,35.0
708.0,18.56,35.0
709.0,18.1,35.0
710.0,17.6,35.0
711.0,17.06,35.0
712.0,16.48,35.0
713.0,15.9,35.0
714.0,15.32,35.0
715.0,14.76,35.0
716.0,14.23,35.0
717.0,13.74,35.0
718.0,13.31,35.0
719.0,12.94,35.0
720.0,12.65,35.0
721.0,12.45,35.0
722.0,12.33,35.0
723.0,12.3,35.0
724.0,12.37,35.0
725.0,12.52,35.0
726.0,12.76,35.0
727.0,13.09,35.0
728.0,13.48,35.0
729.0,13.94,35.0
730.0,14.44,35.0
731.0,14.99,35.0
732.0,15.56,35.0
733.0,16.15,35.0
734.0,16.72,35.0
735.0,17.29,35.0
736.0,17.81,35.0
737.0,18.3,35.0
738.0,18.73,35.0
739.0,19.08,35.0
740.0,19.37,35.0
741.0,19.57,35.0
742.0,19.68,35.0
743.0,19.7,35.0
744.0,19.62,35.0
745.0,19.46,35.0
746.0,19.21,35.0
747.0,18.88,35.0
748.0,18.48,35.0
749.0,18.02,35.0
750.0,17.51,35.0
751.0,16.96,35.0
752.0,16.39,35.0
753.0,15.81,35.0
754.0,15.23,35.0
755.0,14.67,35.0
756.0,14.14,35.0
757.0,13.66,35.0
758.0,13.24,35.0
759.0,12.89,35.0
760.0,12.61,35.0
761.0,12.42,35.0
762.0,12.32,35.0
763.0,12.31,35.0
764.0,12.39,35.0
765.0,12.56,35.0
766.0,12.81,35.0
767.0,13.15,35.0
768.0,13.55,35.0
769.0,14.02,35.0
770.0,14.53,35.0
771.0,15.09,35.0
772.0,15.66,35.0
773.0,16.24,35.0
774.0,16.82,35.0
775.0,17.38,35.0
776.0,17.9,35.0
777.0,18.37,35.0
778.0,18.79,35.0
779.0,19.14,35.0
780.0,19.41,35.0
781.0,19.59,35.0
782.0,19.69,35.0
783.0,19.69,35.0
784.0,19.6,35.0
785.0,19.43,35.0
786.0,19.16,35.0
787.0,18.82,35.0
788.0,18.41,35.0
789.0,17.94,35.0
790.0,17.42,35.0
791.0,16.87,35.0
792.0,16.29,35.0
793.0,15.71,35.0
794.0,15.13,35.0
795.0,14.58,35.0
796.0,14.06,35.0
797.0,13.59,35.0
798.0,13.18,35.0
799.0,12.84,35.0
800.0,12.57,35.0
801.0,12.4,35.0
802.0,12.31,35.0
803.0,12.31,35.0
804.0,12.41,35.0
805.0,12.59,35.0
806.0,12.86,35.0
807.0,13.21,35.0
808.0,13.63,35.0
809.0,14.1,35.0
810.0,14.62,35.0
811.0,15.18,35.0
812.0,15.76,35.0
813.0,16.34,35.0
814.0,16.91,35.0
815.0,17.47,35.0
816.0,17.98,35.0
817.0,18.45,35.0
818.0,18.85,35.0
819.0,19.19,35.0
820.0,19.44,35.0
821.0,19.61,35.0
822.0,19.69,35.0
823.0,19.68,35.0
824.0,19.58,35.0
825.0,19.39,35.0
826.0,19.11,35.0
827.0,18.76,35.0
828.0,18.34,35.0
829.0,17.86,35.0
830.0,17.33,35.0
831.0,16.77,35.0
832.0,16.19,35.0
833.0,15.61,35.0
834.0,15.04,35.0
835.0,14.49,35.0
836.0,13.98,35.0
837.0,13.52,35.0
838.0,13.12,35.0
839.0,12.79,35.0
840.0,12.54,35.0
841.0,12.38,35.0
842.0,12.3,35.0
843.0,12.32,35.0
844.0,12.43,35.0
845.0,12.63,35.0
846.0,12.92,35.0
847.0,13.27,35.0
848.0,13.7,35.0
849.0,14.19,35.0
850.0,14.71,35.0
851.0,15.28,35.0
852.0,15.85,35.0
853.0,16.44,35.0
854.0,17.01,35.0
855.0,17.56,35.0
856.0,18.06,35.0
857.0,18.52,35.0
858.0,18.91,35.0
859.0,19.24,35.0
860.0,19.48,35.0
861.0,19.63,35.0
862.0,19.7,35.0
863.0,19.67,35.0
864.0,19.55,35.0
865.0,19.35,35.0
866.0,19.06,35.0
867.0,18.69,35.0
868.0,18.26,35.0
869.0,17.77,35.0
870.0,17.24,35.0
871.0,16.68,35.0
872.0,16.1,35.0
873.0,15.52,35.0
874.0,14.94,35.0
875.0,14.4,35.0
876.0,13.9,35.0
877.0,13.44,35.0
878.0,13.06,35.0
879.0,12.74,35.0
880.0,12.51,35.0
881.0,12.36,35.0
882.0,12.3,35.0
883.0,12.34,35.0
884.0,12.46,35.0
885.0,12.67,35.0
886.0,12.97,35.0
887.0,13.34,35.0
888.0,13.78,35.0
889.0,14.27,35.0
890.0,14.81,35.0
891.0,15.37,35.0
892.0,15.95,35.0
893.0,16.53,35.0
894.0,17.1,35.0
895.0,17.64,35.0
896.0,18.14,35.0
897.0,18.59,35.0
898.0,18.97,35.0
899.0,19.28,35.0
900.0,19.51,35.0
901.0,19.65,35.0
902.0,19.7,35.0
903.0,19.66,35.0
904.0,19.52,35.0
905.0,19.3,35.0
906.0,19.0,35.0
907.0,18.62,35.0
908.0,18.18,35.0
909.0,17.69,35.0
910.0,17.15,35.0
911.0,16.58,35.0
912.0,16.0,35.0
913.0,16.0,35.0
914.0,13.09,35.0
915.0,10.18,35.0
916.0,7.27,35.0
917.0,4.36,35.0
918.0,1.45,35.0
919.0,-1.45,35.0
920.0,-4.36,35.0
921.0,-7.27,35.0
922.0,-10.18,35.0
923.0,-13.09,35.0
924.0,-16.0,35.0
925.0,0.0,35.0
926.0,0.0,35.0
927.0,0.0,35.0
928.0,0.0,35.0
929.0,0.0,35.0
930.0,0.0,35.0
931.0,0.0,35.0
932.0,0.0,35.0
933.0,0.0,35.0
934.0,0.0,35.0
935.0,0.0,35.0
936.0,0.0,35.0
937.0,0.0,35.0
938.0,0.0,35.0
939.0,0.0,35.0
940.0,0.0,35.0
941.0,0.0,35.0
942.0,0.0,35.0
943.0,0.0,35.0
944.0,0.0,35.0
